patentnumber,title,abstract
9760376,"Compilation for node device GPU-based parallel processing","An apparatus may include a processor and storage to store instructions that cause the processor to perform operations including: in response to a determination that a GPU of a node device is available, determine whether a task routine can be compiled to generate a GPU task routine for execution by the GPU to cause performance of multiple instances of a task of the task routine at least partially in parallel without dependencies thereamong; and in response to a determination that the task routine is able to be compiled to generate the GPU task routine: employ a conversion rule to convert the task routine into the GPU task routine; compile the GPU task routine for execution by the GPU; and assign performance of the task with a data set partition to the node device to enable performance of the multiple instances with the data set partition by the GPU."
9760461,"Electronic device and firmware recovery program that ensure recovery of firmware","An electronic device includes a first nonvolatile memory, a second nonvolatile memory, and a control circuit. The first nonvolatile memory includes an area to store firmware. The firmware includes a first kernel. The second nonvolatile memory includes an area to store an update program, the update program including a second kernel. The control circuit boots the one of the first and the second kernels, and ensures writing data to the first nonvolatile memory by the booted one of the first and the second kernels. When the firmware is incapable of being read, the control circuit reads the update program and performs the boot process to boot the second kernel, and writes updating data of the firmware to the first nonvolatile memory, the first nonvolatile memory being writable of the data by the booted second kernel."
9760492,"Method for controlling access of cache through using programmable hashing address and related cache controller","A method for controlling access of a cache includes at least following steps: receiving a memory address; utilizing a hashing address logic to perform a programmable hash function upon at least a portion of the memory address to generate a hashing address; and determining an index of the cache based at least partly on the hashing address."
9761017,"Automatic method of setting a desktop background color and electronic device for using the same","An automatic method of setting a desktop background is provided. The automatic method of setting a desktop background is applied to an electronic device which is combined with a protective cover, wherein the protective cover has a conducting area corresponding to a specific shape, location or area. The method includes the following steps of receiving protective cover information generated by a touch screen of the electronic device touching the conducting area of the protective cover; determining whether the protective cover information is in accordance with one of a plurality of preset protective cover information; and setting desktop background displayed by the touch screen according the preset protective cover information when the protective cover information is in accordance with one of the plurality of preset protective cover information."
9762553,"Systems and methods of secure data exchange","In embodiments of the present invention improved capabilities are described for managing digital rights management (DRM) protected content sharing in a networked secure collaborative computer data exchange environment through a secure exchange facility managed by an intermediate organizational entity amongst users of a plurality of other organizational entities, wherein computer data content and access rights for the computer data content is shared between a first and second user, the computer data content and access rights for the computer data content are transformed into a DRM protected computer data content through communications with a DRM engine, wherein the DRM engine is selected based on a content type of the computer data content, and the DRM engine is provided by an entity other than the intermediate organizational entity and other than any of the plurality of other organizational entities."
9762768,"Image reading apparatus and document reading method","An image reading apparatus includes: an operation unit; a setting unit configured to set one of a plurality of operation modes, in which different processing is executed for a document, in accordance with an operation content of the operation unit; a reading unit configured to read the document in response to a reading execution request from the operation unit; and a control unit configured to control the reading unit whether or not to execute a reading preparation operation before the reading execution request is made depending on the set operation modes set by the setting unit."
9766463,"See-through computer display systems","Embodiments include a head-worn display including a display panel sized and positioned to produce a field of view to present digital content to an eye of a user, and a processor adapted to present the digital content to the display panel such that the digital content is only presented in a portion of the field of view, the portion being in the middle of the field of view such that horizontally opposing edges of the field of view are blank areas. The processor is adapted to shift the digital content into one of the blank areas to adjust the convergence distance of the digital content and thereby change the perceived distance from the user to the digital content."
9766639,"Power management method for determining an upper limit on a load current","There is provided a power management device including a load current control unit configured to set an upper limit on a load current supplied from a connected feeding device and to control the load current on the basis of the upper limit, and a determination unit configured to, when the load current control unit has reset the upper limit to a higher value, determine if the upper limit has exceeded a current capacity of the feeding device on the basis of a voltage drop level of an input voltage. The load current control unit may reset the upper limit in increments or decrements of a predetermined value, and the load current control unit may, when the determination unit has determined that the upper limit had exceeded the current capacity of the feeding device, control the load current by resetting the upper limit to a value not exceeding the current capacity."
9766663,"Hinge for component attachment","A hinge for component attachment is described. In at least some implementations, a kickstand is rotatably attached to a mobile computing device. The kickstand can be rotated to various positions to provide support for different orientations of the computing device. In at least some implementations, hinges are employed to attach a kickstand to a mobile computing device. One example hinge utilizes preset hinge stops that enable the kickstand to be placed at different preset positions. Another example hinge exerts pressure on an edge of the kickstand, providing stability and vibration dampening to the kickstand."
9766790,"Application reporting in an application-selectable user interface","This document describes techniques for application reporting in an application-selectable user interface. These techniques permit a user to view reports for applications in a user interface through which these applications may be selected. By so doing, a user may quickly and easily determine which applications to select based on their respective reports and then select them or their content through the user interface."
9769293,"Slider cover for computing device","Techniques including use of a slider cover for a computing device are described. In one or more implementations, the slider cover includes a cover body and a pair of hinge assemblies secured along opposing edges of the cover body. The hinge assemblies are designed to attach to a housing for a computing device having a pair of tracks extending along opposing edges of the housing. Engagement of the tracks with the hinge assemblies forms an attachment of the housing to the slider cover designed to enable the housing and slider cover to slide relative to one another in parallel planes and the housing to pivot around a pivot axis formed by the pair of hinge assemblies. Accordingly, manipulation of the housing relative to the slider cover may occur via the hinge assemblies to assume multiple different configurations for an apparatus that includes the slider cover."
9771087,"Abnormality detection method for vehicle body tilt control device","An abnormality detection method for a vehicle body tilt control device makes it possible to determine which air spring has an air supply/exhaust abnormality. A model creation step prepares a state estimation model for each of the front and rear vehicle halves into which a vehicle is divided, and an abnormality detection step applies a state estimation technique to the state estimation model to detect which one of the air springs has an air supply/exhaust abnormality. When flow rate command values for air supplied to/exhausted from the air springs included in each vehicle half are input, each of the input flow rate command values for air supplied to/exhausted from the air springs is multiplied by a virtual gain and the results are averaged. Based on the averages, the average of the heights of the air springs is output, where each virtual gain is included as a state variable."
9772492,"Eye imaging in head worn computing","Aspects of the present invention relate to methods and systems for imaging, recognizing, and tracking of a user's eye that is wearing a HWC. Aspects further relate to the processing of images reflected from the user's eye and controlling displayed content in accordance therewith."
9772817,"Room-corrected voice detection","A playback device may have a network interface configured to communicate with a network microphone device over a communication network. A processor of the playback device may comprise instructions, which when executed, cause the processor to obtain acoustics of an environment in which the playback device is located; identify a network microphone device; and send the acoustics to the network microphone device to cause the network microphone device to apply the acoustics to voice input received by the network microphone device."
9772861,"Accessing operating system elements via a tag cloud","Providing access to an element in an operating system executed by a processor includes: with the processor, tracking behavior of a user with respect to multiple elements managed by the operating system; displaying a tag cloud to the user with a display device, the tag cloud having multiple objects, each of the objects representing one of the elements managed by the operating system and having a size based on the tracked behavior of the user with respect to the element managed by the operating system; and allowing, with the processor, the user to access at least one of the elements using the tag cloud."
9773037,"System and method for updating data in CRM","Systems and methods for processing user requests for updating data in a CRM system. When a user requests to update data in the CRM system, it is determined if the requested data change involves a DCR-controlled field. If yes, the requested data change may be routed to the MDM system for validation first and the data change may not be used to update the CRM until the validation is successful. If the requested data change does not involve any DCR-controlled field, it may update the CRM immediately."
9773051,"Mobile platform file and folder selection functionalities for offline access and synchronization","Systems and methods for folder synchronization and offline synchronization via a mobile platform in a web-based collaboration environment are disclosed. One embodiment includes synchronizing user selected folders and/or sub-folders via the mobile platform, using portable devices including smart phones and tablets using any mobile operating system to allow offline access. Child or sub-folders of the selected folders and/or sub-folders are automatically detected and synchronized for offline access. Any change or new content detected on the client side or on the server side is also synchronized such that the selected folders and/or sub-folders on the client and server sides are up to date."
9773427,"Calorie balance system","A calorie balance system is designed for consumers who are interested in having a proper and adequate diet while monitoring daily activities. Disclosed embodiments enable consumers to be continuously aware of their caloric intake and to compare their caloric intake with current calories expended. Calories burned or expended may be measured by fitness tracking devices. Enabled utensils such as cups, spoons and forks are equipped with means of wireless communication, an accelerometer, a three axis slope meter sensor, a microcontroller, a scale, an analog to digital converter and a microcontroller. Enabled utensils measure the weight of food consumed are report to the consumer's personal electronic device. The system is further enabled by consumers talking to an enabled utensil to report the type of food being consumed. The reported food weight is mapped to the type of food consumed and relevant food data is displayed."
9778500,"Electro-optic displays with touch sensors and/or tactile feedback","An electro-optic display comprises, in order, a light-transmissive electrically-conductive layer; a layer of a solid electro-optic material; and a backplane (<b>162</b>) bearing a plurality of pixel electrodes, a peripheral portion of the backplane extending outwardly beyond the layer of solid electro-optic material and bearing a plurality of radiation generating means (<b>166</b>) and a plurality of radiation detecting means (<b>168</b>), the radiation generating means and radiation detecting means together being arranged to act as a touch screen."
9778712,"Method of integrating a server using alternating current power into a server system using direct current power and alternative junction device therefor","The invention provides a method of integrating a server using alternating current power (AC server) into a server system using direct current power (DC server system) and an alternative junction device therefor. The integrating method includes: providing an AC server having a plug-in power supply unit; providing an alternative junction device for replacing the plug-in power supply unit; extracting the plug-in power supply unit from the AC server; plugging the alternative junction device into the AC server; and coupling the alternative junction device to a direct current power supply unit of a DC server system. The alternative junction device includes: a shell to be installed into a containing slot of an AC server; an output coupled to a DC input of a processor of the AC server when the shell is installed into the containing slot; and an input coupled to a DC power supply unit of a DC server system."
9778749,"Occluded gesture recognition","This document describes techniques and devices for occluded gesture recognition. Through use of the techniques and devices described herein, users may control their devices even when a user's gesture is occluded by some material between the user's hands and the device itself. Thus, the techniques enable users to control their mobile devices in many situations in which control is desired but conventional techniques do permit effective control, such as when a user's mobile computing device is occluded by being in a purse, bag, pocket, or even in another room."
9778771,"Device, method, and graphical user interface for transitioning between touch input to display output relationships","An electronic device with a touch-sensitive surface, a display, and one or more sensors to detect intensity of contacts, detects a contact, determines a location and intensity of the contact on the touch-sensitive surface, and displays a response, the response being based at least in part on an input-output mapping of intensity to response at the contact location. The input-output mapping including a first input-output relationship between intensity and response over a first range of intensity values, a second input-output relationship between intensity and response over a second range of intensity values, and a transitional intensity value where the first range of intensity values meets or overlaps the second range of intensity values. At the transitional intensity value, the first input-output relationship has a first rate of change, the second input-output relationship has a second rate of change, and the first rate is substantially the same as the second rate."
9778923,"Peoplesoft cloud manager","A method and system for promoting software code from a source database instance to a target database instance distributed amongst a plurality of networked servers is described. Software code migration information pertaining to software objects associated with the software code, the source database instance, and the target database instance is analyzed to determine whether errors associated with migrating the software code exceeds a predefined acceptance threshold. Such code migration information is further analyzed to determine whether migrating the software code from the source database instance to the target database instance will result in unacceptable data loss including disassociation, deletion, or change to data, or result in unacceptable non-data criteria before, during, or after the software code is migrated."
9779136,"Rearranging search operators","A system and method for rearranging search operators of a search query are disclosed. In some example embodiments, a first initial search query is received from a first user. The first initial search query comprises at least one search operator and at least one search term. A first rewritten search query is generated based on the first initial search query. The generating of the first rewritten search query comprises rewriting at least one optional search operator in the first initial search query using at least one required search operator and at least one exclusion search operator in response to a determination that the first initial search query comprises the at least one optional search operator and does not comprise any required search operators. A first set of search results is generated for the first rewritten search query and caused to be presented to the first user."
9779205,"Systems and methods for rational selection of context sequences and sequence templates","Provided are systems and methods for rational selection of context sequences and sequence templates including a computer implemented method for obtaining a repository of attributes sets where the attributes sets are statistically associated with a sequence template representing two or more context sequences."
9779559,"Circuit for monitoring abnormality of ECU","An abnormality monitoring circuit of an ECU includes a microcomputer, a reset circuit that resets the microcomputer, a monitor circuit that monitors the operation of the microcomputer, and an output circuit that activates an external actuator. The monitor circuit has an abnormality decision signal output section that outputs an abnormality decision signal to the output circuit when not being able to confirm that an output of a normal monitor signal of the microcomputer has occurred within an abnormality decision time. The monitor circuit has a reset decision signal output section that outputs a reset decision signal to the reset circuit when not being able to confirm that an output of the normal monitor signal of the microcomputer has occurred within a BIST (Built In Self Test) completion time of the microcomputer and a reset decision time set to a time longer than the abnormality decision time."
9781276,"Reliably communicating information associated with mobile device accounts","A computing platform enables the reliable delivery of message data (e.g., virtual airtime credits) into the accounts of mobile device users. The computing platform facilitates a large network of integrations (communication channels) with mobile network operators and reseller, preferably via a statistically-based message routing technique that uses a continuously updated estimate of the probability that a particular request over each integration will succeed. Requests are then routed over an integration picked using this information; if the request fails, the attempt is then retried using another integration until either it succeeds or the system believes the request will never succeed. The success or failure of each request is also used to update the probability estimate, preferably continuously, so that the system adjusts automatically as the reliability of each integration changes over time."
9785305,"Touch input cursor manipulation","The method for manipulating a cursor is performed at a portable multifunction device with one or more processors, memory, and a touch screen display. Initially, content of an electronic document is displayed on the display, where a cursor is displayed within the electronic document. Two substantially simultaneous touch inputs are then detected on the touch screen display, and preferably anywhere on the touch screen display. In response to detecting the two substantially simultaneous touch inputs, a portion of the content in the document closest to the cursor is selected, and the portion of the content is displayed as selected content."
9785320,"Service gallery user interface presentation","A gallery user interface element that includes multiple selectable service user interface elements. Each of the selectable service user interface elements, when selected, initiates a corresponding predetermined action. Thus, the gallery may be used to initiate any number of predetermined actions by selecting appropriate service user interface elements. The predetermined actions may be performed by a number of user interface elements that are collectively offered by a variety of different applications, application extensions, or the system itself. The predetermined actions may include at least one predetermined action that extends an extendible canvas with one or more additional user interface elements. The gallery may include multiple pinnable elements and have different versions depending on a context in which the gallery was opened."
9785363,"File quarantine method and apparatus","The present disclosure provides a file quarantine method, apparatus, and system. The method includes: receiving by an input/output (I/O) object manager, a change operation request from a first process for a volume device in a file system; and if it is determined that the first process is a process inside a sandbox, redirecting the change operation request to a virtual volume device corresponding to the volume device which is pointed to by the change operation request, and sending the redirected change operation request to the I/O object manager. The foregoing solution may implement file quarantine at a volume device level."
9785402,"Metadata exchange involving a networked playback system and a networked microphone system","Disclosed herein are systems and methods for establishing a metadata exchange channel between a media playback system and a networked microphone system, wherein the networked microphone system comprises a networked microphone device and a networked microphone server. After establishing the metadata exchange channel, the media playback system experiences a metadata exchange triggering event. In response to experiencing the metadata exchange triggering event, the media playback system provides metadata to the networked microphone system via the metadata exchange channel."
9786026,"Asynchronous translation of computer program resources in graphics processing unit emulation","Resource processing during run time can be performed asynchronously from emulation of an application by a central processing unit. For example, an emulator can include a main processing thread that performs emulation processes. In response to encountering a shader, or other resource, to be processed, the emulator can invoke a separate asynchronous thread to perform such processing. Processed resources, such as translated shaders and generated textures, can be stored in a cache. In response to a command that uses a resource, such as a draw command that invokes a shader or other resource, the emulator can use the processed resource in the cache. If the processed resource is not in the cache, the emulator can skip processing the command that uses the resource. If processed resources can be obtained from other sources and loaded in the cache, processing of resources by the emulator can be eliminated."
9786090,"System for colocating a touch screen and a virtual object, and device for manipulating virtual objects implementing such a system","A system (<b>10</b>) for displaying at least one virtual object includes a secondary screen (<b>20</b>) for displaying the virtual object, a primary screen (<b>30</b>), an optical element for overlaying images displayed on the secondary screen (<b>20</b>) with images displayed on the primary screen (<b>30</b>), and a pointing surface combined with the primary screen (<b>30</b>) for detecting the contact of one or more physical pointing elements. A device (<b>90</b>) for manipulating at least one virtual object includes calculation elements for generating images of the virtual object displayed on the system (<b>10</b>) from information output from the system (<b>10</b>) in accordance with the actions of the operator (<b>100</b>)."
9786650,"Process for making and using a semiconductor wafer containing first and second DOEs of standard cell compatible, NCEM-enabled fill cells, with the first DOE including snake open configured fill cells, and the second DOE including metal island open configured fill cells","A process for making and using a semiconductor wafer includes instantiating first and second designs of experiments (DOES), each comprised of at least two fill cells. The fill cells contain structures configured to obtain in-line data via non-contact electrical measurements (â€œNCEMâ€). The first DOE contains fill cells configured to enable non-contact (NC) detection of snake opens, and the second DOE contains fill cells configured to enable NC detection of metal island opens. The process may further include obtaining NC measurements from the first and/or second DOE(s) and using such measurements, at least in part, to selectively perform additional processing, metrology or inspection steps on the wafer, and/or on other wafer(s) currently being manufactured."
9787283,"Low-loss tunable radio frequency filter","A method of constructing an RF filter comprises designing an RF filter that includes a plurality of resonant elements disposed, a plurality of non-resonant elements coupling the resonant elements together to form a stop band having a plurality of transmission zeroes corresponding to respective frequencies of the resonant elements, and a sub-band between the transmission zeroes. The non-resonant elements comprise a variable non-resonant element for selectively introducing a reflection zero within the stop band to create a pass band in the sub-band. The method further comprises changing the order in which the resonant elements are disposed along the signal transmission path to create a plurality of filter solutions, computing a performance parameter for each of the filter solutions, comparing the performance parameters to each other, selecting one of the filter solutions based on the comparison of the computed performance parameters, and constructing the RF filter using the selected filter solution."
9787568,"Physiological test credit method","A physiological test credit method determines if test credits are available to the monitor and checks if a Wi-Fi connection is available. If test credits are less than a test credit threshold, the monitor connects to a test credit server, processes server commands so as to download test credits and disconnects from the server. In various embodiments, the monitor is challenged to break a server code, the server is challenged to break a monitor code. The server validates monitor serial codes, and saves monitor configuration parameters."
9787599,"Managing content delivery network service providers","A system, method, and computer readable medium for managing CDN service providers are provided. A network storage provider storing one or more resources on behalf of a content provider obtains client computing device requests for content. The network storage provider processes the client computing device requests and determines whether a subsequent request for the resource should be directed to a CDN service provider as a function of the updated or processed by the network storage provider storage component."
9787775,"Point of presence management in request routing","A system and method for the management of client computing device DNS queries and subsequent resource requests within a content delivery network service provider domain are provided. The management of the DNS queries can include the selection of computing devices corresponding to various Point of Presence locations for processing DNS queries. Additionally, the management of the content requests can include the selection of computing devices corresponding to resource cache components corresponding to various Point of Presence locations for providing requested content. The selection of the computing devices can incorporate logic related to geographic criteria, testing criteria, and the like."
9787944,"Transmission terminal, transmission method, and computer-readable recording medium storing transmission program","A transmission terminal transmits video data and display data of a screen shared with another transmission terminal to the other transmission terminal via a predetermined relay apparatus. The transmission terminal includes a storage unit that stores relay apparatus information of the relay apparatus to which the transmission terminal transmits the video data; a receive unit that receives the display data from an external input apparatus connected to the transmission terminal; and a transmitting unit that transmits the display data received by the receive unit to the relay apparatus indicated by the relay apparatus information stored in the storage unit."
9788106,"Default playback device designation","Systems and methods discussed herein involve designating a default playback device in a local playback network. One method may involve determining that a networked microphone device is available for assignment to one or more playback zones within a local playback network, displaying a prompt to indicate at least one playback zone to which the network microphone device is to be assigned, receiving an input indicating a particular playback zone in the local playback system to which the network microphone device is to be assigned, and storing data indicating an assignment of the network microphone device to the particular playback zone."
9788107,"Default playback devices","Systems and method discussed herein involve applying a designation of a default playback device in a media playback system. One method may involve maintaining a database comprising data indicating an assignment of an identification of a network microphone device to a playback zone of a media playback system, receiving a message indicating (i) the identification of the network microphone device and (ii) a media playback command, identifying the playback zone in the media playback system based on the data in the database and the received message, and transmitting to the playback zone, a message indicating the media playback command."
9791732,"Touching display panel and display device using the same","A touching display panel and a display device using the same are provided. The touching display panel includes a liquid crystal layer, a first substrate having a hard surface structure, a second substrate, a touch sensor layer, a thin-film transistor layer, and a color filter layer. The first and second substrates are respectively disposed at two sides of the liquid crystal layer. The touch sensor layer is disposed between the first substrate and the liquid crystal layer, and is formed on the first substrate. The thin-film transistor layer and the color filter layer are both disposed between the first substrate and the second substrate. At least one of the thin-film transistor layer and the color filter layer is formed on the first substrate."
9792043,"Methods and systems for efficiently storing data","Methods and systems for a networked storage environment are provided. One method includes scanning a first data structure by a processor executing instructions out of a memory for a storage operating system to determine whether any data chunk of a first object stored at a first storage tier is referenced by the storage operating; when the storage operating system references a certain number of data chunks, the processor using an object staging data structure to identify a second object that is in the process of being built with space for transferring the certain number of data chunks from the first object to the second object; and updating information regarding the second object at a transfer log with location information of the certain number of data chunks at the first storage tier."
9792153,"Computing resource inventory system","Systems and methods of managing computing resources of a computing system are described. A computing resource list and computing resource information may be stored at a data store. The computing resource list may identify a set of computing resources of a computing system, and the computing resource information may respectively describe the computing resources. The computing resource list may be updated in response to a new computing resource being added to the computing system or in response to an existing computing resource being removed from the computing system. Evaluation tasks for the computing resources may be performed, and a resource evaluation report may be generated during performance of at least one of the evaluation task."
9792560,"Training systems and methods for sequence taggers","Systems and methods for or training as sequence tagger, such as conditional random field model. More specifically, the systems and methods train a sequence tagger utilizing partially labeled data from crowd-sourced data for a specific application and partially labeled data from search logs. Further, the systems and methods disclosed herein train a sequence tagger utilizing only partially labeled by utilizing a constrained lattice where each input value within the constrained lattice can have multiple candidate tags with confidence scores. Accordingly, the systems and methods provide for a more accurate sequence tagging system, a more reliable sequence tagging system, and a more efficient sequence tagging system in comparison to sequence taggers trained utilizing at least some fully-labeled training data."
9793073,"Backlighting a fabric enclosure of a flexible cover","Fabric enclosure backlighting techniques are described. In one or more implementations, one or more translucent portions are formed within a plurality of layers of a fabric enclosure assembly. In one approach, regions within one or multiple layers are laser etched to form the translucent portions within the fabric enclosure assembly. A light source is then arranged to selectively transmit light through the layers via the translucent portions to provide backlight for one or more elements integrated with fabric enclosure assembly. The one or more elements may include representations of input keys and/or graphics associated with the fabric enclosure assembly. The backlight may be used to view the one or more elements in low light and/or provide backlight effects such as borders, side lighting, labels, and so forth."
9798474,"Software-defined storage system monitoring tool","Methods, computing systems and computer program products implement embodiments of the present invention that include collecting, from a software-defined storage system including one or more computing nodes that are configured to provide a storage service, performance metrics for each of the computing nodes, and detecting, based on the performance metrics, a performance bottleneck in the software-defined storage system. In embodiments of the present invention, each of the computing nodes includes one or more software modules and one or more hardware components, and the performance bottleneck is either a given software module or a given hardware component. In some embodiments, detecting the performance bottleneck includes predicting the performance bottleneck. Upon detecting the performance bottleneck, a solution for the performance bottleneck can be determined, and the performance bottleneck and the solution can be presented to a user on a display."
9798648,"Transitive source code violation matching and attribution","Methods, systems, and apparatus, including computer programs encoded on computer storage media, for matching and attributing code violations. One of the methods includes receiving a plurality of snapshots of a code base, including data representing a revision graph of the snapshots of the code base and data representing respective violations in each of the plurality of snapshots. A plurality of transitively matched violations in the code base are generated, wherein each transitively matched violation represents a respective sequence of matching violations from a first violation of a first snapshot to a second violation of a second snapshot, wherein each transitively matched violation identifies a respective first violation representing an initial occurrence of a coding defect in the code base and a respective second violation representing a last occurrence of the coding defect in the code base."
9798690,"Connection equipment and a field device control system","A connection equipment (IJB <b>200</b>) for connected to a control system (<b>205</b>) via a cable (<b>206</b>) and a field device (<b>201</b>) via a terminal port (<b>306</b>), comprising: a processor (<b>300</b>) configured to determine the terminal port corresponding to the field device reference included in a communication signal received from the control system and to instruct a transmitter/receiver (<b>304</b>) to transmit the communication signal to the terminal port determined, and an isolator (<b>305</b>B) configured to electrically isolate the communication signal to be transmitted to the field device via the terminal port and the electric power signal to be provided to the field device via the terminal port, from the other terminal ports."
9798977,"Method for providing cognitive insights using cognitive agents","A computer-implementable method for providing cognitive insights comprising: receiving streams of data from a plurality of data sources; processing streams of data from a plurality of data sources via a plurality of agents, the processing the streams of data from the plurality of data sources via the plurality of agents performing a respective plurality of cognitive operations on the streams of data; and, providing cognitive insights based upon the performing the respective plurality of cognitive operations on the streams of data from the plurality of data sources."
9798978,"Hybrid data architecture for use within a travel industry optimized cognitive environment","A data architecture for use within a cognitive information processing system environment comprising: a plurality of data sources, the plurality of data sources comprising a public data source and a private data source, the public data source comprising publicly available travel information, the private data source comprising privately managed, company specific travel information; and, a cognitive data management module, the cognitive data management module accessing information from the plurality of data sources and providing the information to an inference and learning system."
9799640,"Integrated circuit containing first and second DOEs of standard cell compatible, NCEM-enabled fill cells, with the first DOE including chamfer short configured fill cells, and the second DOE including corner short configured fill cells","An IC includes first and second designs of experiments (DOES), each comprised of at least two fill cells. The fill cells contain structures configured to obtain in-line data via non-contact electrical measurements (â€œNCEMâ€). The first DOE contains fill cells configured to enable non-contact (NC) detection of chamfer shorts, and the second DOE contains fill cells configured to enable NC detection of corner shorts."
9800742,"Toll-tree numbers metadata tagging, analysis and reporting","A toll-free tagging service is provided that includes a subscription-based service that is made available to responsible organizations, consumers and businesses. The toll-free tagging service may provide the ability to tag a toll-free number (or group of numbers), and once a number is tagged, to track updates to that number that may then be distributed to customers through emails/text messages or other means. Subscribers of the toll-free tagging service may also have the ability to create, view, update and delete tags through a web application, mobile application, or some other user interface."
9801318,"Component verification method and component verification system","A component verification method includes a component ID reading process of reading a component ID corresponding to a stored component of a subsequent tape, a tape insertion detecting process of detecting that the subsequent tape has been inserted into a tape feeder, a feeder specifying process of specifying a tape feeder in which the insertion of the subsequent tape has been detected, and a component verifying process of verifying whether or not a correspondence relationship between the read component ID and the specified tape feeder is correct."
9804602,"Package management system for robotic vehicles","Described embodiments include a system, method, and apparatus. A system includes a package management system for operating a robotic vehicle configured to transport consumer items selected by a human shopper from a consumer shopping environment and placed in the robotic vehicle. The package management system includes circuitry for recognizing an individual human shopper. The system includes circuitry for receiving data indicative of a location of the individual human shopper in the consumer shopping environment. The system includes circuitry for routing the robotic vehicle to the location of the individual human shopper in the consumer shopping environment. In an embodiment, the package management system includes circuitry for issuing an alarm upon detection of an unauthorized removal or attempted unauthorized removal of a consumer item from the secure portion of the robotic vehicle."
9804671,"Input device and non-transitory computer-readable recording medium","An input device comprising: a processor that executes a process comprising: first detecting an eye-gaze position on a screen; comparing a current specified position and the eye-gaze position; and setting a cursor position to the specified position until a distance between the specified position and the eye-gaze position reaches a threshold or more."
9804821,"Interaction history management device, interaction device and interaction history management method","An interaction history management device includes an interaction control unit configured to accept an input of an operation by audio and generate a reply by audio in response to the operation, an interaction history storage unit configured to store information that identifies an audio content of the accepted operation and information that identifies an audio content of the reply, an execution unit configured to store an identifier to the interaction history storage unit as associating with the reply when a predetermined process related to the accepted operation is executed normally, and an external data deletion unit configured to, when an instruction to delete information used in the predetermined process is accepted, delete the information, identify an identifier of the predetermined process in which the information to be deleted is used, and delete at least the audio content of the reply associated with the identifier from the interaction history storage unit."
9804875,"Software component and device for the automated processing of multi-purpose data, employing functions requiring different security levels or responsibility limits","A software component for automated processing of multi-usage data, implementing functions requiring various levels of security or limits of responsibility. The software component includes a plurality of virtual machines, each virtual machine being adapted for executing at least one function requiring a level of security or a limit of responsibility which is predetermined and a hypervisor adapted for controlling execution of the plurality of virtual machines."
